modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1426547,1403275,1403606,1403247,1403616,1403584,1403477,1403151,1403476,1403392
AID 2. byte,1403500,1403615,1403689,1403480,1403707,1403641,1403505,1402824,1403504,1403620
AID 3. byte,1403446,1403114,1403219,1403435,1403280,1404049,1380945,1380570,1380666,1380717
AID 4. byte,1380719,1380722,1380633,1380151,1380556,1380633,1380529,1399931,1380550,1380765
AID 5. byte,1380583,1380777,1380856,1380996,1381051,1380491,1380798,1380500,1380769,1380899
AID 6. byte,1380573,1380752,1380694,1380656,1380697,1380887,1380777,1380764,1380517,1400915
AID 7. byte,1380760,1380653,1380693,1381118,1380897,1380528,1380983,1379200,1380037,1380789
Major version,1380740,1399545,1380589,1380796,1380622,1380805,1380862,1380833,1380511,1381030
Minor version,1380716,1380676,1380699,1380547,1380842,1380796,1380747,1380331,1380663,1380556
