modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1427029,1403525,1403825,1403752,1403849,1403608,1404206,1403612,1403688,1403763
AID 2. byte,1403683,1403780,1403724,1404111,1403615,1403737,1403716,1403901,1403590,1403822
AID 3. byte,1403813,1403779,1403714,1403547,1403742,1404112,1381140,1380814,1380703,1380791
AID 4. byte,1380069,1380924,1380975,1380932,1380728,1381129,1380758,1381050,1380683,1380775
AID 5. byte,1380689,1380546,1380654,1380716,1380797,1380721,1380950,1380629,1380709,1380841
AID 6. byte,1380772,1380642,1380675,1380767,1380720,1381085,1380795,1380997,1380731,1380839
AID 7. byte,1380976,1380761,1380984,1380788,1380966,1400193,1380794,1381270,1380874,1380911
Major version,1380700,1380924,1380776,1380926,1381009,1380909,1380781,1381087,1380645,1380780
Minor version,1380853,1380909,1380876,1380743,1380649,1380586,1380500,1380415,1380791,1380776
