modification,1
AID 1. byte,1403071
AID 2. byte,1403077
AID 3. byte,1403238
AID 4. byte,1402531
AID 5. byte,1403227
AID 6. byte,1403482
AID 7. byte,1403611
AID 8. byte,1403045
AID 9. byte,1403268
Major version,1403199
Minor version,1403019
