modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,583599,583453,583631,583580,583645,583587,583892,583540,583775,583843
AID 2. byte,583707,583875,583727,583798,583714,583955,583737,584066,583809,583791
AID 3. byte,584096,583941,384216,384185,384215,384115,384242,384169,384394,384118
AID 4. byte,384083,384231,384220,384355,384214,384420,384087,384347,384361,384210
AID 5. byte,384353,384207,384484,384218,384346,384161,384264,384123,384272,384121
AID 6. byte,384153,384312,384164,384209,384132,384438,384158,384237,384084,384259
AID 7. byte,384286,384054,384318,384283,384327,384229,384280,384087,384313,384301
Major version,384147,384367,384158,384300,384147,384400,384160,384334,384168,384260
Minor version,384350,384170,384284,384190,384366,384153,384283,383540,384247,384087
