modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1403725,1403283,1403454,1403264,1403395,1403541,1403642,1403411,1403523,1403473
AID 2. byte,1403361,1403665,1403278,1403757,1403781,1403717,1403527,1403781,1403420,1403518
AID 3. byte,1403547,1403469,1403545,1404121,1380813,1380740,1380724,1380808,1380967,1380724
AID 4. byte,1380559,1380849,1380723,1381181,1380953,1381121,1380936,1380853,1380769,1381015
AID 5. byte,1380871,1380923,1380999,1381115,1381120,1380847,1380910,1380751,1380806,1380770
AID 6. byte,1380795,1380905,1380806,1380910,1380689,1380979,1380954,1380883,1380719,1381142
AID 7. byte,1380995,1380834,1380874,1380652,1380820,1380870,1380905,1380630,1380894,1380658
Major version,1380653,1380851,1380781,1380908,1380722,1381115,1380774,1380756,1381043,1380796
Minor version,1380880,1380677,1380887,1380806,1381152,1400869,1380961,1380971,1380742,1380639
