modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,583557,583581,583577,583505,583532,583580,583744,583707,583704,583597
AID 2. byte,583752,583737,583691,583746,583694,583802,583968,583944,603268,584039
AID 3. byte,584220,583977,584078,583848,384234,384160,384353,384234,384336,384127
AID 4. byte,384266,384265,384183,384233,384066,384287,384051,384238,384099,384297
AID 5. byte,384282,384101,384250,384202,384231,384128,384289,384113,384308,384268
AID 6. byte,384168,384385,384174,384344,384147,384259,384130,384299,384123,384434
AID 7. byte,384361,384228,384309,384102,384252,384112,384337,384160,384318,384088
Major version,384143,384498,384221,384302,384120,384304,384153,384301,384100,384341
Minor version,384318,384120,384314,384118,384399,384176,384472,384249,384261,384415
