0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,2
8,2
9,2
10,1
11,2
12,2
13,2
14,1
15,0
16,2
17,2
18,1
19,0
20,2
21,2
22,1
23,1
24,2
25,2
26,2
27,1
28,2
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,1
37,2
38,2
39,2
40,2
41,1
42,2
43,1
44,2
45,0
46,2
47,2
48,0
49,1
50,2
51,1
52,1
53,2
54,1
55,2
56,0
57,1
58,0
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,0
67,0
68,0
69,1
70,0
71,0
72,2
73,0
74,0
75,1
76,2
77,0
78,1
79,1
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,1
89,2
90,2
91,0
92,2
93,2
94,2
95,1
96,0
97,2
98,2
99,0
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,0
112,2
113,2
114,2
115,0
116,2
117,2
118,2
119,2
120,2
121,2
122,0
123,0
124,0
125,2
126,2
127,2
128,0
129,2
130,2
131,2
132,2
133,1
134,1
135,2
136,2
137,2
138,2
139,0
140,2
141,1
142,1
143,2
144,1
145,0
146,2
147,0
148,0
149,0
150,2
151,2
152,2
153,2
154,2
155,2
156,1
157,1
158,0
159,2
160,1
161,2
162,2
163,2
164,1
165,1
166,2
167,0
168,1
169,2
170,2
171,0
172,2
173,1
174,2
175,0
176,2
177,2
178,2
179,2
180,1
181,1
182,0
183,2
184,0
185,2
186,2
187,2
188,2
189,0
190,2
191,2
192,2
193,2
194,0
195,2
196,2
197,0
198,2
199,2
200,1
201,3
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,2
211,0
212,0
213,2
214,2
215,2
216,2
217,2
218,2
219,1
220,2
221,2
222,0
223,0
224,2
225,2
226,2
227,1
228,0
229,2
230,1
231,2
232,2
233,2
234,2
235,2
236,1
237,2
238,2
239,2
240,2
241,2
242,0
243,0
244,2
245,0
246,2
247,1
248,0
249,0
250,2
251,2
252,2
253,1
254,1
