0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,3
32,3
33,3
34,3
35,3
36,2
37,2
38,3
39,3
40,3
41,4
42,2
43,2
44,2
45,2
46,3
47,4
48,2
49,2
50,2
51,2
52,2
53,2
54,3
55,3
56,3
57,4
58,2
59,2
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,2
69,2
70,3
71,3
72,3
73,4
74,2
75,2
76,2
77,3
78,4
79,2
80,3
81,3
82,3
83,3
84,2
85,2
86,3
87,3
88,3
89,4
90,2
91,2
92,4
93,2
94,3
95,3
96,3
97,3
98,3
99,3
100,2
101,2
102,3
103,3
104,3
105,4
106,2
107,2
108,2
109,3
110,2
111,1
112,0
113,2
114,0
115,1
116,2
117,1
118,1
119,2
120,2
121,2
122,3
123,3
124,2
125,2
126,3
127,3
128,3
129,4
130,2
131,2
132,2
133,2
134,2
135,3
136,3
137,3
138,2
139,2
140,1
141,0
142,2
143,1
144,1
145,1
146,2
147,2
148,2
149,2
150,3
151,3
152,3
153,2
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,0
172,2
173,2
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,6
192,2
193,2
194,2
195,2
196,4
197,2
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,4
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,3
228,3
229,3
230,3
231,2
232,2
233,2
234,2
235,2
236,2
237,3
238,3
239,3
240,4
241,2
242,3
243,3
244,2
245,2
246,3
247,3
248,3
249,4
250,2
251,2
252,2
253,1
254,2
