modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,582907,583532,583645,583494,583760,583666,583709,583566,583736,583665
AID 2. byte,583767,583862,583857,583955,583865,583875,583893,583953,583758,583958
AID 3. byte,584033,583994,583988,583947,384160,384114,384314,384062,384329,384086
AID 4. byte,384091,384372,384108,384348,384073,384341,384128,384265,384090,384334
AID 5. byte,384377,384114,384267,384160,384260,384087,384300,384166,384269,384177
AID 6. byte,384069,384400,384103,384267,384094,384347,384074,384265,384147,384190
AID 7. byte,384481,384229,384364,384028,384289,383433,384401,384203,384275,384161
Major version,384070,384287,384111,384329,384257,384242,384063,384306,384121,384172
Minor version,384247,384093,384269,384215,384410,384034,384178,384013,383546,384086
