modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,583560,583443,583563,583529,583606,583777,583668,583577,583646,583717
AID 2. byte,583700,583770,583669,583863,583712,584003,583820,583958,583797,583841
AID 3. byte,583914,583828,583868,583818,384143,384208,384341,384042,384383,384145
AID 4. byte,384119,384374,384106,384266,384114,384281,383997,384267,384074,384301
AID 5. byte,384425,384164,384392,384332,384296,384099,384257,384257,384258,384128
AID 6. byte,384088,384279,384210,384213,384089,384280,384091,384209,384190,384291
AID 7. byte,384496,384144,384272,384114,384272,384179,384352,384118,384405,384120
Major version,384133,384247,384082,384319,384140,384258,384186,384322,384070,384206
Minor version,384278,384191,384228,384102,384244,384002,384192,384102,384301,384140
