modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1481216,1917891,1917991,1917314,1917809,1917536,1917643,1918077,1917884,1918094
AID 2. byte,1746983,1917484,1917785,1918053,1918197,1917461,1918084,1917993,1918583,1918468
AID 3. byte,1918324,1917288,1918499,1917783,1917997,1918259,1917958,1917876,1918335,1917661
AID 4. byte,1918062,1917375,1918430,1917698,1918435,1917908,1918188,1918308,1918299,1918528
AID 5. byte,1918152,1918039,1918663,1917872,1918784,1917814,1918118,1918050,1918285,1917868
AID 6. byte,1918322,1917802,1918219,1918142,1918292,1917748,1918232,1918596,1918455,1918088
AID 7. byte,1918374,1917964,1918237,1917826,1918323,1918621,1918918,1918468,1918438,1917912
Major version,1900248,1900250,1900736,1900094,1900945,1900418,1900610,1900302,1900807,1900704
Minor version,1900415,1900630,1900624,1900097,1900445,1900777,1901130,1900748,1901136,1900459
