0,0,782850,4690498,1918134
0,1,400020,4613904,1917862
0,2,414485,4613982,1917773
0,3,338989,4613274,1917683
0,4,294590,4613003,1917777
0,5,766930,4612766,1917923
0,6,397623,4612098,1917885
0,7,353903,4611382,1917711
0,8,341618,4612973,1917889
0,9,376740,4612165,1917451

1,0,400356,4689732,1917891
1,1,399717,4611462,1917304
1,2,428849,4611781,1917528
1,3,319609,4611223,1917568
1,4,310100,4612553,1980291
1,5,323612,4612370,1917786
1,6,399465,4611572,1917905
1,7,310431,4611074,1917614
1,8,284361,4611769,1917669
1,9,344819,4610655,1917430

2,0,310154,4689778,1917745
2,1,385886,4611061,1917456
2,2,374031,4612606,1917613
2,3,782475,4612059,1917923
2,4,427203,4612195,1917624
2,5,294477,4611531,1917863
2,6,392631,4611976,1918302
2,7,322446,4610728,1918007
2,8,291858,4611604,1917893
2,9,306048,4611890,1917764

3,0,379013,4688489,1917799
3,1,371051,4612454,1917606
3,2,371978,4611981,1917767
3,3,405098,4610953,1917457
3,4,305675,4612205,1918426
3,5,379723,4611361,1917662
3,6,298049,4611203,1917827
3,7,315690,4611866,1917717
3,8,412760,4612044,1918580
3,9,782411,4610332,1918203

4,0,368918,4688061,1917894
4,1,379817,4612127,1917710
4,2,375772,4612094,1918001
4,3,352327,4611750,1917873
4,4,412086,4612152,1918216
4,5,355680,4611720,1918086
4,6,414072,4612254,1918179
4,7,408646,4611373,1917971
4,8,379387,4612555,1918477
4,9,371858,4611669,1918496

5,0,782855,4689580,1918488
5,1,378883,4611998,1917753
5,2,366240,4611650,1918232
5,3,487890,4611851,1917991
5,4,782239,4612669,1918512
5,5,401592,4611819,1918252
5,6,425967,4611616,1918587
5,7,367670,4611584,1918356
5,8,381940,4611417,1918121
5,9,782240,4611695,1918622

6,0,782879,4689326,1918150
6,1,350768,4611086,1918094
6,2,399534,4612051,1918087
6,3,395473,4610876,1918227
6,4,393020,4612065,1918328
6,5,371667,4611063,1917890
6,6,676246,4611664,1918350
6,7,384604,4611720,1918378
6,8,361103,4612423,1918632
6,9,433759,4674727,1918159

7,0,782644,4689503,1900747
7,1,390228,4612612,1900207
7,2,408156,4613107,1900775
7,3,399892,4611882,1899989
7,4,394466,4611714,1900127
7,5,400322,4610599,1900255
7,6,365337,4611129,1900466
7,7,375574,4610814,1900703
7,8,386595,4611998,1900650
7,9,740022,4611699,1900522

8,0,782945,4687541,1900551
8,1,251827,4611260,1900745
8,2,382552,4611586,1900826
8,3,382276,4611175,1900611
8,4,782459,4613212,1900891
8,5,287669,4612346,1900670
8,6,370189,4611732,1900851
8,7,383010,4611467,1900575
8,8,393458,4611685,1900779
8,9,395730,4611761,1900871

