modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1918134,1917862,1917773,1917683,1917777,1917923,1917885,1917711,1917889,1917451
AID 2. byte,1917891,1917304,1917528,1917568,1980291,1917786,1917905,1917614,1917669,1917430
AID 3. byte,1917745,1917456,1917613,1917923,1917624,1917863,1918302,1918007,1917893,1917764
AID 4. byte,1917799,1917606,1917767,1917457,1918426,1917662,1917827,1917717,1918580,1918203
AID 5. byte,1917894,1917710,1918001,1917873,1918216,1918086,1918179,1917971,1918477,1918496
AID 6. byte,1918488,1917753,1918232,1917991,1918512,1918252,1918587,1918356,1918121,1918622
AID 7. byte,1918150,1918094,1918087,1918227,1918328,1917890,1918350,1918378,1918632,1918159
Major version,1900747,1900207,1900775,1899989,1900127,1900255,1900466,1900703,1900650,1900522
Minor version,1900551,1900745,1900826,1900611,1900891,1900670,1900851,1900575,1900779,1900871
