0,0,384338,4689978,1917976
0,1,355005,4611453,1917825
0,2,397611,4612796,1917542
0,3,359907,4611528,1917658
0,4,387870,4677665,1917596
0,5,782434,4612187,1918031
0,6,782639,4613357,1917774
0,7,782895,4611609,1917368
0,8,782626,4613329,1918218
0,9,368575,4612702,1980154

1,0,467621,4690779,1917824
1,1,384955,4611793,1917924
1,2,519418,4613410,1918139
1,3,495955,4612101,1917475
1,4,523773,4612063,1917990
1,5,782725,4612277,1917854
1,6,782832,4612359,1917667
1,7,782404,4611532,1917810
1,8,782192,4612684,1917684
1,9,782638,4611815,1917761

2,0,425478,4689091,1918388
2,1,550601,4610955,1917861
2,2,584309,4612336,1917927
2,3,371128,4612122,1918233
2,4,519013,4612676,1917926
2,5,499369,4612640,1917869
2,6,782406,4612985,1918610
2,7,782584,4611611,1918040
2,8,782731,4613014,1918645
2,9,782603,4611883,1917782

3,0,782250,4688386,1917828
3,1,499981,4611533,1917829
3,2,584658,4613084,1918201
3,3,500419,4611039,1918044
3,4,351517,4611410,1918033
3,5,502182,4612021,1918077
3,6,441617,4612964,1918184
3,7,513065,4611577,1917896
3,8,348786,4611354,1918720
3,9,266958,4611833,1917890

4,0,305860,4688231,1917905
4,1,427033,4612054,1917994
4,2,548241,4611734,1918481
4,3,782268,4611239,1917772
4,4,782479,4611724,1918543
4,5,782836,4611571,1918341
4,6,393941,4611547,1918558
4,7,497794,4611137,1918277
4,8,782250,4611847,1918399
4,9,377164,4610914,1917959

5,0,454149,4688239,1917983
5,1,521351,4611624,1918292
5,2,498172,4611543,1918356
5,3,359777,4610986,1918516
5,4,374510,4611847,1918454
5,5,390408,4611848,1918265
5,6,383576,4612677,1919128
5,7,420982,4611852,1918737
5,8,405616,4612141,1918597
5,9,376002,4611842,1918454

6,0,782720,4688367,1918118
6,1,503494,4611641,1917583
6,2,517496,4611816,1918175
6,3,356203,4611196,1917716
6,4,373288,4611950,1918190
6,5,673647,4612000,1918216
6,6,348266,4612488,1918892
6,7,401183,4612429,1918367
6,8,782428,4678313,1919078
6,9,381679,4611803,1918155

7,0,394237,4687836,1900538
7,1,584256,4611377,1899777
7,2,350616,4612056,1900406
7,3,782482,4611471,1900224
7,4,400046,4612215,1900521
7,5,782756,4612265,1900607
7,6,782273,4612070,1900915
7,7,466769,4612358,1900392
7,8,340789,4612591,1900750
7,9,406702,4612510,1900484

8,0,782778,4688191,1900595
8,1,454666,4611901,1900288
8,2,364866,4611475,1900786
8,3,302879,4611556,1900547
8,4,413162,4611663,1900876
8,5,298910,4612266,1901028
8,6,278936,4613211,1900839
8,7,300639,4612518,1900643
8,8,355014,4612709,1901482
8,9,316056,4611067,1900759

