0,0,343728,4688215,1914683
0,1,381428,4610421,1915264
0,2,336268,4610559,1915465
0,3,270907,4610099,1915287
0,4,369850,4611279,1914704
0,5,376677,4610364,1914335
0,6,316315,4611048,1915549
0,7,310351,4610678,1915606
0,8,404212,4611332,1914721
0,9,390129,4610413,1914499

1,0,308239,4687973,1914506
1,1,782079,4610974,1914171
1,2,337270,4611212,1914493
1,3,339660,4610777,1914556
1,4,385145,4611604,1915003
1,5,326467,4610237,1914432
1,6,350168,4609993,1915187
1,7,384348,4610034,1914724
1,8,287910,4611026,1914766
1,9,249938,4609571,1914607

2,0,387971,4687017,1914181
2,1,359906,4610068,1914212
2,2,360513,4610958,1914553
2,3,306043,4610172,1914193
2,4,286279,4610728,1914732
2,5,321281,4609714,1914413
2,6,382335,4610474,1915744
2,7,358550,4610845,1915642
2,8,299098,4610343,1914801
2,9,393509,4611023,1914707

3,0,359944,4751326,1914597
3,1,503529,4610287,1914667
3,2,285284,4611196,1915087
3,3,353373,4610255,1914843
3,4,458294,4609964,1914543
3,5,260894,4609578,1914563
3,6,316511,4609921,1914435
3,7,329346,4609785,1914405
3,8,320977,4611048,1914857
3,9,311492,4611344,1914910

4,0,341841,4687024,1914428
4,1,359969,4610579,1915100
4,2,365246,4610570,1915187
4,3,275132,4609812,1914338
4,4,306258,4610932,1914545
4,5,298677,4610291,1914475
4,6,405856,4610223,1914530
4,7,304950,4609796,1914452
4,8,409007,4610053,1915468
4,9,408518,4609734,1914507

5,0,305503,4687256,1914742
5,1,263694,4610411,1914451
5,2,414595,4609906,1914829
5,3,350336,4609808,1914821
5,4,351634,4611069,1915096
5,5,363423,4610460,1914652
5,6,297840,4610748,1914742
5,7,334092,4611259,1914841
5,8,313987,4611530,1914827
5,9,392504,4610681,1914759

6,0,331382,4687014,1914216
6,1,439699,4610092,1914726
6,2,290559,4611423,1915210
6,3,308058,4609486,1914558
6,4,385535,4610644,1914938
6,5,338530,4610662,1914973
6,6,286308,4610478,1914462
6,7,389385,4610526,1914680
6,8,271177,4609995,1914649
6,9,317371,4610015,1914967

7,0,324677,4686622,1914521
7,1,372282,4610294,1914915
7,2,388705,4611211,1915163
7,3,782167,4610664,1915062
7,4,380837,4610167,1915185
7,5,277374,4610289,1914319
7,6,262662,4609693,1914705
7,7,475565,4610542,1914807
7,8,283447,4610829,1915391
7,9,782074,4609253,1914517

8,0,331118,4687172,1914807
8,1,294834,4610218,1914515
8,2,357590,4611558,1914844
8,3,782239,4610648,1915072
8,4,398141,4611017,1915258
8,5,392673,4610317,1914482
8,6,278386,4610390,1914719
8,7,316232,4609916,1914753
8,8,377433,4609695,1915096
8,9,307794,4609780,1915137

9,0,412287,4686699,1899879
9,1,537177,4608667,1899732
9,2,258515,4609657,1900046
9,3,324095,4609009,1900087
9,4,390895,4610367,1900563
9,5,319156,4609285,1899977
9,6,286428,4610700,1900832
9,7,383635,4610455,1900159
9,8,329810,4612260,1900770
9,9,287846,4610492,1900475

10,0,782365,4686872,1900711
10,1,782062,4610020,1900118
10,2,381840,4610116,1900498
10,3,308415,4609631,1900037
10,4,260264,4610152,1900565
10,5,393145,4609698,1900231
10,6,290289,4610734,1900537
10,7,375165,4610340,1900620
10,8,297063,4609794,1900743
10,9,782528,4610691,1900578

