modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1917976,1917825,1917542,1917658,1917596,1918031,1917774,1917368,1918218,1980154
AID 2. byte,1917824,1917924,1918139,1917475,1917990,1917854,1917667,1917810,1917684,1917761
AID 3. byte,1918388,1917861,1917927,1918233,1917926,1917869,1918610,1918040,1918645,1917782
AID 4. byte,1917828,1917829,1918201,1918044,1918033,1918077,1918184,1917896,1918720,1917890
AID 5. byte,1917905,1917994,1918481,1917772,1918543,1918341,1918558,1918277,1918399,1917959
AID 6. byte,1917983,1918292,1918356,1918516,1918454,1918265,1919128,1918737,1918597,1918454
AID 7. byte,1918118,1917583,1918175,1917716,1918190,1918216,1918892,1918367,1919078,1918155
Major version,1900538,1899777,1900406,1900224,1900521,1900607,1900915,1900392,1900750,1900484
Minor version,1900595,1900288,1900786,1900547,1900876,1901028,1900839,1900643,1901482,1900759
