0,0,437554,4689325,1917921
0,1,530006,4612601,1917328
0,2,487719,4613330,1918060
0,3,782731,4612982,1917907
0,4,299726,4612794,1917964
0,5,319712,4613216,1917830
0,6,319483,4613722,1918367
0,7,351504,4612561,1918187
0,8,284313,4613447,1918238
0,9,304318,4612747,1918347

1,0,353844,4690036,1918233
1,1,431274,4612793,1917441
1,2,540889,4612421,1918366
1,3,473942,4613161,1917640
1,4,492611,4677797,1918230
1,5,327000,4612808,1918304
1,6,441980,4613911,1918109
1,7,393552,4611948,1918070
1,8,435505,4612901,1918683
1,9,503771,4611703,1918139

2,0,373525,4690331,1918229
2,1,344355,4612506,1917780
2,2,371625,4612647,1918125
2,3,412081,4611802,1917885
2,4,399250,4613694,1918399
2,5,782505,4613099,1917865
2,6,277838,4612816,1918193
2,7,360443,4612342,1917926
2,8,322663,4614099,1919000
2,9,297342,4611773,1918083

3,0,310754,4689490,1918246
3,1,332666,4676645,1918089
3,2,303662,4613348,1918228
3,3,306103,4611948,1917495
3,4,378482,4612091,1918501
3,5,319186,4611678,1917884
3,6,317038,4613011,1918738
3,7,320144,4611431,1917938
3,8,306647,4612434,1918640
3,9,299554,4612276,1918063

4,0,411283,4689131,1918435
4,1,296162,4612912,1917739
4,2,352263,4612227,1918300
4,3,305127,4611337,1918033
4,4,372319,4613791,1918661
4,5,322568,4611853,1918271
4,6,265477,4612065,1918683
4,7,292581,4611595,1918335
4,8,299230,4613118,1980764
4,9,274265,4612728,1918160

5,0,327626,4689924,1918006
5,1,294389,4611708,1918152
5,2,245765,4612541,1918915
5,3,264524,4611832,1918071
5,4,275320,4612518,1918219
5,5,278728,4612638,1918350
5,6,408363,4612519,1918798
5,7,301063,4611280,1918210
5,8,297447,4612259,1918292
5,9,286554,4612040,1918497

6,0,304203,4689768,1918400
6,1,318579,4611856,1917934
6,2,273436,4611839,1918682
6,3,325677,4612410,1918141
6,4,287304,4612785,1918563
6,5,309538,4612495,1918688
6,6,374493,4612373,1918943
6,7,358801,4611644,1918042
6,8,439581,4612380,1919199
6,9,299444,4612320,1918628

7,0,782540,4688836,1900950
7,1,356608,4611710,1900332
7,2,322736,4611841,1900964
7,3,290239,4610917,1899947
7,4,284614,4613322,1901223
7,5,294229,4611822,1900580
7,6,298461,4612241,1901039
7,7,302791,4612311,1901005
7,8,360343,4611958,1901186
7,9,319156,4610940,1900535

8,0,419393,4689712,1901144
8,1,305214,4610805,1900107
8,2,360091,4612758,1900866
8,3,390381,4611899,1900738
8,4,303009,4612595,1901313
8,5,293988,4612322,1901006
8,6,293114,4612759,1900923
8,7,296498,4611315,1900953
8,8,383303,4612074,1901127
8,9,327483,4612030,1900982

