modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1917921,1917328,1918060,1917907,1917964,1917830,1918367,1918187,1918238,1918347
AID 2. byte,1918233,1917441,1918366,1917640,1918230,1918304,1918109,1918070,1918683,1918139
AID 3. byte,1918229,1917780,1918125,1917885,1918399,1917865,1918193,1917926,1919000,1918083
AID 4. byte,1918246,1918089,1918228,1917495,1918501,1917884,1918738,1917938,1918640,1918063
AID 5. byte,1918435,1917739,1918300,1918033,1918661,1918271,1918683,1918335,1980764,1918160
AID 6. byte,1918006,1918152,1918915,1918071,1918219,1918350,1918798,1918210,1918292,1918497
AID 7. byte,1918400,1917934,1918682,1918141,1918563,1918688,1918943,1918042,1919199,1918628
Major version,1900950,1900332,1900964,1899947,1901223,1900580,1901039,1901005,1901186,1900535
Minor version,1901144,1900107,1900866,1900738,1901313,1901006,1900923,1900953,1901127,1900982
