0,1
1,1
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,2
11,1
12,1
13,1
14,1
15,1
16,2
17,0
18,1
19,0
20,1
21,3
22,1
23,1
24,0
25,0
26,0
27,1
28,2
29,2
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,4
56,4
57,4
58,4
59,4
60,1
61,1
62,4
63,4
64,4
65,3
66,1
67,1
68,1
69,1
70,4
71,3
72,1
73,1
74,1
75,1
76,1
77,1
78,4
79,4
80,4
81,3
82,1
83,1
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,1
93,1
94,4
95,4
96,4
97,3
98,1
99,1
100,1
101,4
102,3
103,1
104,4
105,4
106,4
107,4
108,1
109,1
110,4
111,4
112,4
113,3
114,1
115,1
116,3
117,1
118,4
119,4
120,4
121,4
122,4
123,4
124,1
125,1
126,4
127,4
128,4
129,3
130,1
131,1
132,1
133,4
134,1
135,2
136,0
137,1
138,0
139,2
140,1
141,2
142,2
143,1
144,1
145,1
146,4
147,4
148,1
149,1
150,4
151,4
152,4
153,3
154,1
155,1
156,1
157,1
158,1
159,4
160,4
161,4
162,1
163,1
164,2
165,0
166,1
167,2
168,2
169,2
170,1
171,1
172,1
173,1
174,4
175,4
176,4
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,3
221,1
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,3
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,4
252,4
253,4
254,4
