55, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
56," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{5a893ddf}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
57, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
58, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
59, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
60, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
61, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
62, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
63," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{33d26ca5}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
64, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
65," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{503d53a5}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
66," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{621ef80}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
67," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{334980f9}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
68," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4e7c393e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
69, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
70," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{21c432ef}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
71, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
72," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{31b05e8d}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
73," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{5bad08de}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
74," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4bacbf2}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
75," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{74f43453}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
76," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{25dae72}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
77, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
78," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{6e2b1bd1}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
79, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
80, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
81," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2bde08de}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
82, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
83," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{66c21aaf}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
84, CAP loaded 
85, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
86, CAP loaded 
87," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{6777dcae}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
88," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{af579dc}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
89," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{ebfb386}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
90," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{63320c88}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
91," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{779a1644}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
92," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4b6a2076}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
93, CAP loaded INSTALL [for install and make selectable] failed: 0x6985 (Conditions of use not satisfied) 
94, CAP loaded 
95, CAP loaded 
96, CAP loaded 
97," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{73ff0897}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
98, CAP loaded 
99, CAP loaded 
100," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{73e99bb4}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
101," CAP loaded Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4f92dbdd}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED "
102, CAP loaded 
