0,0,91831,96445,89959,172194,295199,238074,1403725,583599
0,1,91790,96495,89959,172129,295443,237999,1403283,583453
0,2,141581,91804,96412,89952,172128,295211,238006,1403454,583631
0,3,141639,91826,96445,89981,172287,295440,238004,1403264,583580
0,4,141617,91846,96420,89970,172096,295323,238056,1403395,583645
0,5,91837,96439,89970,172133,295435,238090,1403541,583587
0,6,91874,96519,90033,172279,295199,238120,1403642,583892
0,7,91902,96436,89956,172169,295178,237969,1403411,583540
0,8,91850,96510,89945,172192,295201,238056,1403523,583775
0,9,91819,96433,89951,172088,295232,237952,1403473,583843

1,0,141631,91774,96493,89974,172168,295181,238110,1403361,583707
1,1,91813,96488,89970,172313,295174,238050,1403665,583875
1,2,91824,96513,89961,172133,295217,237990,1403278,583727
1,3,91842,96440,89972,172169,295478,238043,1403757,583798
1,4,91797,96427,90198,172166,295216,238030,1403781,583714
1,5,91833,96445,90011,172176,295261,238018,1403717,583955
1,6,91836,96455,89977,172154,295157,238127,1403527,583737
1,7,91864,96429,90011,172097,295313,238053,1403781,584066
1,8,91804,96452,89968,172310,295205,238086,1403420,583809
1,9,91849,96385,89934,172176,295226,238020,1403518,583791

2,0,141589,91780,96418,90003,172107,295178,238035,1403547,584096
2,1,91804,96412,89923,172340,295228,238101,1403469,583941
2,2,91855,96450,89880,172204,295207,238054,1403545,384216
2,3,91893,96501,89948,172235,295532,238063,1404121,384185
2,4,91993,96499,89979,172193,295345,238123,1380813,384215
2,5,141418,91947,96503,89966,172237,295360,238042,1380740,384115
2,6,91921,96493,89925,172081,295364,238006,1380724,384242
2,7,141312,91949,96487,89965,172334,295342,238309,1380808,384169
2,8,91985,96463,89978,172142,295342,238043,1380967,384394
2,9,141179,91921,95829,90005,172131,295325,238137,1380724,384118

3,0,91882,96592,89934,172093,295416,238046,1380559,384083
3,1,141438,91955,96518,89990,172176,295391,238046,1380849,384231
3,2,91919,96567,89955,172184,295345,238159,1380723,384220
3,3,91977,96473,89995,172132,295698,238105,1381181,384355
3,4,141359,91935,96546,89964,172069,295603,238141,1380953,384214
3,5,91964,96545,90024,172139,295392,238136,1381121,384420
3,6,91974,96484,89983,172179,295410,238131,1380936,384087
3,7,141422,91987,96474,89936,172171,295369,238050,1380853,384347
3,8,91909,96559,89958,172166,295326,238105,1380769,384361
3,9,141264,91944,96447,89997,172414,295556,238016,1381015,384210

4,0,92225,96526,90130,172168,295338,238072,1380871,384353
4,1,141313,91950,96655,90283,172221,295384,238073,1380923,384207
4,2,91950,96518,89920,172378,295375,238094,1380999,384484
4,3,141380,91930,96546,89996,172238,295594,238109,1381115,384218
4,4,91980,96524,89977,172126,295400,238065,1381120,384346
4,5,141357,91885,96490,89913,172177,295549,238085,1380847,384161
4,6,91965,96530,90165,172313,295312,238039,1380910,384264
4,7,141294,91930,96572,89988,172237,295306,238064,1380751,384123
4,8,92048,96509,89982,172080,295273,237977,1380806,384272
4,9,141581,91984,96535,89992,172159,295483,238019,1380770,384121

5,0,91925,96522,89962,172150,295276,238018,1380795,384153
5,1,141295,91942,96506,89947,172119,295291,238054,1380905,384312
5,2,91886,96489,89931,172391,295317,238063,1380806,384164
5,3,141334,91964,96483,90173,172064,295316,238004,1380910,384209
5,4,91968,96533,89504,172051,295361,238156,1380689,384132
5,5,141267,91933,96508,90176,172181,295410,238068,1380979,384438
5,6,91916,96500,89977,172221,295637,238133,1380954,384158
5,7,92037,96483,89965,172392,295455,238081,1380883,384237
5,8,141346,91249,96535,89918,172127,295517,237993,1380719,384084
5,9,91965,95834,89977,172182,295543,237396,1381142,384259

6,0,141419,91975,96468,90026,172266,295342,238129,1380995,384286
6,1,91952,96474,89957,172292,295483,238027,1380834,384054
6,2,141299,91967,96602,89962,172202,295358,238024,1380874,384318
6,3,91985,96488,89970,172170,295341,238112,1380652,384283
6,4,141333,91938,96551,89952,172121,295340,238012,1380820,384327
6,5,92092,96494,89992,172226,295365,238107,1380870,384229
6,6,141278,91960,96480,90007,172167,295361,238056,1380905,384280
6,7,91999,96514,89926,172178,295340,238077,1380630,384087
6,8,91960,96523,89977,172140,295331,238027,1380894,384313
6,9,141434,91897,96505,89942,172044,295553,238056,1380658,384301

7,0,91971,96511,89902,172120,295662,238067,1380653,384147
7,1,141347,91947,96515,89938,172081,295379,238046,1380851,384367
7,2,91907,96518,90004,172147,295384,238089,1380781,384158
7,3,141291,91957,96611,89922,172212,295391,238193,1380908,384300
7,4,91977,96513,89927,172147,295339,238112,1380722,384147
7,5,141372,91887,96492,90009,172159,295330,238086,1381115,384400
7,6,91975,96508,89946,172132,295646,238022,1380774,384160
7,7,141243,91960,96485,89930,172121,295301,238096,1380756,384334
7,8,91990,96522,89984,172147,295348,238169,1381043,384168
7,9,141312,91941,96498,89962,172072,295585,238015,1380796,384260

8,0,91934,96488,90005,172060,295336,238054,1380880,384350
8,1,141332,91989,96607,89941,172124,295595,238104,1380677,384170
8,2,91923,96479,90011,172353,295365,238056,1380887,384284
8,3,141301,91909,96642,89916,172149,295383,238139,1380806,384190
8,4,91978,96506,90000,172142,295346,238035,1381152,384366
8,5,141379,91980,96555,89987,172272,295427,238112,1400869,384153
8,6,92093,96531,89991,172139,295485,238061,1380961,384283
8,7,141261,91989,96510,89955,172232,295395,238050,1380971,383540
8,8,92017,96488,90007,172127,295501,238036,1380742,384247
8,9,141284,91954,96621,89969,172127,295378,238137,1380639,384087

