0,0,91842,96467,90004,172158,295422,238044,1427364,583557
0,1,91799,96443,89958,172399,295234,238077,1403565,583581
0,2,91821,96423,89951,172103,295367,238025,1403722,583577
0,3,91901,96438,89981,172115,295215,238076,1403451,583505
0,4,91858,96364,89971,172087,295194,238076,1403856,583532
0,5,91788,96457,89982,172152,295241,238025,1403302,583580
0,6,91820,96396,89974,172205,295212,238080,1403813,583744
0,7,91778,96414,90164,172114,295397,238069,1403273,583707
0,8,91797,96497,89982,172067,295170,237957,1403338,583704
0,9,141673,91794,96429,89915,172121,295447,237910,1403384,583597

1,0,141635,91781,96390,89937,172116,295143,237982,1403584,583752
1,1,91817,96390,89927,172371,295127,238031,1403701,583737
1,2,91761,96439,89951,172120,295126,238044,1422695,583691
1,3,91836,96395,90067,172186,295351,238070,1403757,583746
1,4,91779,96430,89976,172159,295338,237973,1403386,583694
1,5,91821,96439,89952,172117,295198,238029,1403705,583802
1,6,92026,96421,89958,172196,295206,238033,1403476,583968
1,7,91824,96402,90182,172173,295270,238239,1403903,583944
1,8,91856,96442,90001,172170,295313,238069,1403733,603268
1,9,91878,96451,90014,172385,295304,238140,1403818,584039

2,0,141641,92028,96472,89954,172360,295314,238023,1403790,584220
2,1,91784,96376,90134,172328,295419,238016,1403582,583977
2,2,91814,96541,89938,172296,295224,237976,1403767,584078
2,3,91760,96403,89975,172101,295159,238068,1403327,583848
2,4,91812,96454,89319,172283,295190,238052,1403717,384234
2,5,92227,96518,90185,172098,295392,238074,1404372,384160
2,6,141316,91945,96538,89967,172143,295459,238053,1381119,384353
2,7,141372,91958,96508,89959,172146,295343,238049,1400119,384234
2,8,92104,96506,89984,172104,295259,237988,1380797,384336
2,9,141292,92005,96491,89955,172347,295297,237978,1380690,384127

3,0,92061,96519,89901,172278,295345,238054,1380918,384266
3,1,141337,91942,96511,89970,172228,295359,238298,1381007,384265
3,2,91933,96623,89943,172148,295496,238038,1380649,384183
3,3,141334,91938,96500,89954,172018,295262,238086,1380765,384233
3,4,91941,96507,89938,172173,295231,237969,1380625,384066
3,5,141299,91956,96492,89981,172144,295533,238152,1381092,384287
3,6,92113,115700,89946,172036,295416,237992,1380594,384051
3,7,141319,91953,96465,89979,172098,295413,238006,1380800,384238
3,8,91944,95864,89957,172133,295528,238072,1380717,384099
3,9,91969,96484,89977,172190,295492,238104,1380931,384297

4,0,141349,91980,96503,90003,172135,295402,238109,1380342,384282
4,1,91948,96552,89996,172188,295290,238083,1380871,384101
4,2,91932,96594,89972,172077,295376,238103,1380920,384250
4,3,91907,96624,89987,172376,294843,238055,1380700,384202
4,4,91967,96483,89956,172082,295318,238003,1380973,384231
4,5,141322,92145,96484,89987,172239,295352,238176,1380941,384128
4,6,91939,96527,89949,172122,295385,238190,1380979,384289
4,7,141356,91982,96553,89977,171489,295403,238105,1380810,384113
4,8,91989,96482,89978,172134,295712,238060,1381099,384308
4,9,141333,91964,96533,89975,172078,295344,238076,1380930,384268

5,0,141318,91959,96537,89990,172269,295331,237982,1380587,384168
5,1,91946,96522,89908,172239,295256,238053,1381151,384385
5,2,140549,91848,96490,90154,172136,295348,237965,1380726,384174
5,3,91986,96457,89966,172321,295497,238166,1381177,384344
5,4,92073,96629,90150,171449,295330,238071,1381216,384147
5,5,141204,91984,96524,89978,172122,295267,238119,1380816,384259
5,6,91910,96513,90172,172123,295569,238049,1380798,384130
5,7,91983,96504,90180,172083,295183,238062,1381183,384299
5,8,91910,96540,89954,172093,295333,237999,1380832,384123
5,9,91954,96531,90016,172131,295297,238073,1380934,384434

6,0,92212,96474,89951,172249,295379,238210,1381160,384361
6,1,91895,96485,89883,172360,295343,238006,1380815,384228
6,2,141314,91874,96530,89946,172088,295640,238056,1381182,384309
6,3,141249,91851,96485,89969,172196,295376,238016,1380747,384102
6,4,92175,96453,89973,172074,295343,238128,1381099,384252
6,5,92079,96622,89952,172121,295418,238077,1380940,384112
6,6,91968,96627,90158,172169,295591,238106,1381007,384337
6,7,141278,91901,96408,89997,172041,295394,238045,1380877,384160
6,8,91965,96491,89968,172076,295598,238187,1380990,384318
6,9,92003,96513,90003,172171,295403,237418,1380865,384088

7,0,141352,91987,96541,89973,172119,295415,238078,1380908,384143
7,1,141356,91275,96514,89980,172128,295359,238121,1381178,384498
7,2,141303,91944,96467,89975,172141,295374,238047,1381059,384221
7,3,91986,96508,90001,172139,295320,237997,1380975,384302
7,4,141327,91977,96529,89987,172337,295414,238055,1380886,384120
7,5,141239,91998,96516,89958,172186,295315,238025,1380945,384304
7,6,91869,96553,89996,172138,295340,238034,1380836,384153
7,7,141253,91933,96479,90007,172121,295349,237990,1380963,384301
7,8,91936,96522,89287,172124,295348,238074,1380966,384100
7,9,141310,91982,96528,89994,172155,295309,238053,1381156,384341

8,0,92079,96486,89958,172140,295597,237988,1380968,384318
8,1,141380,91896,96501,89992,172330,295397,237383,1380902,384120
8,2,91912,96532,90029,172105,295408,238159,1381377,384314
8,3,141383,91940,96566,90004,172134,295382,238137,1380974,384118
8,4,92025,96537,89992,172128,295391,238100,1381587,384399
8,5,91932,96542,90025,172234,295356,238066,1380904,384176
8,6,141451,91976,96514,89970,172145,295383,238107,1381070,384472
8,7,91971,96469,90204,172130,295293,238109,1381143,384249
8,8,141372,91966,96545,90015,172211,295336,238091,1380997,384261
8,9,91972,96566,89975,172309,295673,238142,1381353,384415

