modification,1,2,3,4,5,6,7,8,9,10
AID 1. byte,1427364,1403565,1403722,1403451,1403856,1403302,1403813,1403273,1403338,1403384
AID 2. byte,1403584,1403701,1422695,1403757,1403386,1403705,1403476,1403903,1403733,1403818
AID 3. byte,1403790,1403582,1403767,1403327,1403717,1404372,1381119,1400119,1380797,1380690
AID 4. byte,1380918,1381007,1380649,1380765,1380625,1381092,1380594,1380800,1380717,1380931
AID 5. byte,1380342,1380871,1380920,1380700,1380973,1380941,1380979,1380810,1381099,1380930
AID 6. byte,1380587,1381151,1380726,1381177,1381216,1380816,1380798,1381183,1380832,1380934
AID 7. byte,1381160,1380815,1381182,1380747,1381099,1380940,1381007,1380877,1380990,1380865
Major version,1380908,1381178,1381059,1380975,1380886,1380945,1380836,1380963,1380966,1381156
Minor version,1380968,1380902,1381377,1380974,1381587,1380904,1381070,1381143,1380997,1381353
